PER,last_year_wins,continuity,avg_age,num_wins
159.6,39,0.77070122,25.75,34
145.9,36,0.554115854,25.81818182,30
129.5,26,0.558409553,26.08333333,40
185.8,72,0.979110772,29.64285714,69
304.6,39,0.535335366,26.05555556,44
192.6,47,0.686143293,26.4,42
146.8,21,0.275746951,24.75,30
113.2,25,0.470416667,28.2,33
120.5,30,0.18203252,28.3,26
169.1,29,0.855172764,24.92307692,36
165.3,26,0,25.08333333,24
151.8,18,0.319242886,27.21428571,22
217.1,41,0.418170732,27.57142857,40
183,64,0.787942073,29.07692308,57
208.3,47,0.649618902,27.86666667,72
161.7,36,0.818262195,24.66666667,26
150.9,32,0.043445122,26.54545455,42
219.1,59,0.708917683,28.2,41
183.9,28,0.689349593,26.35714286,46
173.5,57,0.799817073,27.92857143,64
170.1,34,0.611239837,26.78571429,25
185.1,21,0.552510163,25.2,39
180.3,24,0.294893293,25.6875,18
237,41,0.737738821,26.47058824,35
217,26,0.314644309,27.5,36
150.6,42,0.430965447,28.92857143,46
225.4,57,0.93402439,27.26666667,60
216,43,0.660889228,28.93333333,47
209.2,48,0.826671748,27.33333333,53
185.4,50,0.600264228,28.6,41
170.3,62,0.677962398,28.78571429,59
192.1,35,0.594496951,26.64285714,33
189.8,52,0.77527439,28.85714286,52
159.4,47,0.674684959,27.92307692,48
159.1,55,0.720132114,28.28571429,47
157.7,39,0.646478659,26.07142857,39
145.4,30,0.408485772,27.66666667,30
175.4,60,0.808658537,28.91666667,55
160.3,44,0.700843496,29.25,44
151,21,0.254283537,26.28571429,26
196.7,17,0.743338415,25.0625,29
182.9,50,0.48613313,25.07692308,26
172.9,45,0.890904472,26.5,30
184.2,27,0.458414634,25.93333333,17
208,55,0.689751016,29.30769231,62
162.2,13,0.574283537,25.38461538,36
220.6,53,0.653252033,26.42857143,60
196.3,33,0.795228659,27.5,48
188.3,24,0.597291667,25.73333333,21
173,57,0.620284553,27.76923077,42
172.4,42,0.483292683,25.83333333,32
206.4,56,0.692601626,27.8,59
184.7,50,0.791925813,27.14285714,57
172,20,0.650604675,25.64285714,21
172.3,41,0.800203252,26.75,50
145.2,25,0.522337398,26.46153846,24
190.8,58,0.734410569,27.33333333,47
154.3,42,0.98023374,24.86666667,41
141,28,0.596194106,26.25,39
137,20,0.505172764,25.4,34
208.1,47,0.84988313,27.66666667,52
179.2,55,0.725365854,27.71428571,47
178.6,47,0.81449187,27.07142857,44
204.2,47,0.687469512,27.93333333,43
189.4,57,0.83734248,28.46153846,55
182.6,20,0.460376016,28.69230769,28
190.8,32,0.673932927,26.85714286,35
238.9,63,0.85824187,27.21428571,57
142.4,40,0.515289634,29.45454545,20
177.2,41,0.673887195,26.71428571,27
170.1,55,0.592571138,27.09090909,63
205.6,48,0.626356707,28.57142857,32
185.3,28,0.571727642,27.30769231,20
167.4,43,0.741224593,27.07692308,57
226.2,34,0.638323171,26.17647059,50
183.1,11,0.493323171,24.625,13
168.4,49,0.590523374,27.57142857,55
162.7,19,0.743729675,25.84615385,20
172.3,47,0.649039634,28.46153846,53
162.6,39,0.644776423,26.75,33
