@relation 'Master-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,5-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute PER numeric
@attribute last_year_wins numeric
@attribute continuity numeric
@attribute num_wins numeric

@data
193.8,42,0.369533,48
192.8,43,0.501651,22
192.4,51,0.515264,50
191,31,0.493257,29
185.1,49,0.864151,43
184.1,31,0.571032,47
182.6,26,0.330203,35
182.2,55,0.66532,65
181.9,41,0.859853,44
177.3,20,0.406321,28
173.2,32,0.263059,27
172.9,34,0.494599,48
170.7,36,0.762927,36
167.5,33,0.578166,24
167,47,0.46593,48
163.1,41,0.723633,49
158.5,41,0.363598,27
154.9,43,0.421306,24
151.3,29,0.558023,25
