@relation lockout_fixed_with_age_postsub

@attribute ﻿PER numeric
@attribute last_year_wins numeric
@attribute continuity numeric
@attribute avg_age numeric
@attribute num_wins numeric

@data
188.2,44,0.607602,28.333333,42
182.8,26,0.427642,26.8125,52
187.7,45,0.627124,27,28
143.4,32,0.618892,27.333333,50
133.7,48,0.617947,29.090909,30
126.4,19,0.320325,27,37
163.9,40,0.507764,27.615385,27
191.2,55,0.830574,27.428571,61
186.7,52,0.826128,27.333333,41
180,36,0.745086,25.866667,49
212.8,58,0.619466,29.666667,58
155.2,53,0.622327,25.727273,57
209.6,56,0.724304,28.133333,58
194,50,0.382871,29.333333,36
144.9,51,0.287515,28.727273,36
168.1,17,0.63346,26.8125,21
187.9,53,0.751077,29.857143,44
148.9,56,0.390676,26.636364,43
234.8,50,0.66091,31.066667,49
203.7,30,0.494629,26.933333,29
172.5,47,0.785838,28.357143,50
168.1,15,0.292932,23.0625,21
205.2,44,0.652983,28.071429,45
167.6,46,0.812907,28.6,44
123.9,25,0.477805,25.083333,33
186.7,43,0.711392,26.866667,44
161.9,41,0.580935,27.2,42
109.4,47,0.558968,30.2,42
174.7,31,0.900798,24.461538,39
197.8,29,0.475483,27.466667,19
183.6,40,0.561753,26.5625,53
199.9,31,0.775706,28.642857,26
188.9,44,0.833577,28.142857,55
215.9,56,0.659477,29,41
197.4,53,0.792139,30.357143,58
166.2,42,0.799822,27.833333,52
157.9,17,0.402398,26.6,15
178.7,19,0.437581,27.642857,17
177.7,22,0.669512,27.266667,23
169.8,49,0.818735,26.230769,56
146,15,0.424055,25.466667,31
237.3,34,0.858191,27.6875,45
162.1,28,0.376123,26.166667,25
157.5,42,0.299726,28,32
206.2,52,0.445615,28.4,50
196.8,59,0.892591,30.142857,50
175.2,35,0.796092,26.142857,36
173.5,45,0.611204,28.357143,47
161.3,55,0.707083,29.916667,53
217,53,0.661702,29.176471,51
153.1,32,0.394416,27.066667,30
181.3,67,0.733039,28.214286,56
171.6,35,0.65247,25.846154,40
161.9,41,0.554903,25.692308,43
182.2,45,0.744207,28.066667,44
176.7,50,0.735513,27,47
155.8,49,0.523862,26.666667,46
148.5,50,0.722978,29.714286,48
184,20,0.577043,30.230769,56
190.3,36,0.618867,26.071429,17
162.4,39,0.746474,27.166667,58
159.8,40,0.536707,28.25,56
188.3,30,0.449893,27.529412,16
197.5,15,0.220965,27.411765,36
144.8,30,0.33092,25.909091,19
139.1,21,0.192622,27.3,11
121.4,26,0.467261,28.1,43
211.7,57,0.677876,29.5,61
197,57,0.852282,29.8125,41
171.5,54,0.56468,28.083333,37
166.1,57,0.945569,29.307692,43
174.9,34,0.624456,27.142857,27
195,56,0.719909,26.666667,61
166.2,42,0.314695,26.153846,47
160.2,14,0.54312,25.230769,19
162.2,64,0.978232,28.727273,62
59.5,24,0.069146,28.833333,20
188.2,22,0.447266,26,31
145.5,54,0.634111,29.090909,51
215.6,69,0.882647,30.066667,62
178.3,49,0.367856,26.076923,46
172.4,45,0.641814,28.214286,41
162.2,56,0.81374,27.4375,50
159.6,40,0.80125,26.833333,45
209,61,0.678135,27.533333,55
125.7,33,0.532967,28,36
152.7,59,0.734842,28.909091,20
150.6,33,0.775671,24.928571,15
101.2,42,0.332983,26.888889,61
160.1,41,0.429543,28.230769,54
120.2,47,0.398338,29.75,57
232.8,48,0.382815,28.777778,57
163.1,35,0.509639,26.538462,21
159,46,0.40503,27.666667,56
182.6,55,0.827734,27.928571,64
196.1,53,0.412109,27.5,56
194.6,52,0.7156,28.928571,39
155.8,15,0.401296,26.923077,14
212.1,60,0.663298,27.714286,45
168.6,44,0.424527,27.230769,49
161.4,46,0.730849,26.846154,54
159.6,39,0.770701,25.75,34
145.9,36,0.554116,25.818182,30
129.5,26,0.55841,26.083333,40
185.8,72,0.979111,29.642857,69
304.6,39,0.535335,26.055556,44
192.6,47,0.686143,26.4,42
146.8,21,0.275747,24.75,30
113.2,25,0.470417,28.2,33
120.5,30,0.182033,28.3,26
169.1,29,0.855173,24.923077,36
165.3,26,0,25.083333,24
151.8,18,0.319243,27.214286,22
217.1,41,0.418171,27.571429,40
183,64,0.787942,29.076923,57
208.3,47,0.649619,27.866667,72
161.7,36,0.818262,24.666667,26
150.9,32,0.043445,26.545455,42
219.1,59,0.708918,28.2,41
183.9,28,0.68935,26.357143,46
173.5,57,0.799817,27.928571,64
170.1,34,0.61124,26.785714,25
185.1,21,0.55251,25.2,39
180.3,24,0.294893,25.6875,18
237,41,0.737739,26.470588,35
217,26,0.314644,27.5,36
150.6,42,0.430965,28.928571,46
225.4,57,0.934024,27.266667,60
216,43,0.660889,28.933333,47
209.2,48,0.826672,27.333333,53
185.4,50,0.600264,28.6,41
170.3,62,0.677962,28.785714,59
192.1,35,0.594497,26.642857,33
189.8,52,0.775274,28.857143,52
159.4,47,0.674685,27.923077,48
159.1,55,0.720132,28.285714,47
157.7,39,0.646479,26.071429,39
145.4,30,0.408486,27.666667,30
175.4,60,0.808659,28.916667,55
160.3,44,0.700843,29.25,44
151,21,0.254284,26.285714,26
196.7,17,0.743338,25.0625,29
182.9,50,0.486133,25.076923,26
172.9,45,0.890904,26.5,30
184.2,27,0.458415,25.933333,17
208,55,0.689751,29.307692,62
162.2,13,0.574284,25.384615,36
220.6,53,0.653252,26.428571,60
196.3,33,0.795229,27.5,48
188.3,24,0.597292,25.733333,21
173,57,0.620285,27.769231,42
172.4,42,0.483293,25.833333,32
206.4,56,0.692602,27.8,59
184.7,50,0.791926,27.142857,57
172,20,0.650605,25.642857,21
172.3,41,0.800203,26.75,50
145.2,25,0.522337,26.461538,24
190.8,58,0.734411,27.333333,47
154.3,42,0.980234,24.866667,41
141,28,0.596194,26.25,39
137,20,0.505173,25.4,34
208.1,47,0.849883,27.666667,52
179.2,55,0.725366,27.714286,47
178.6,47,0.814492,27.071429,44
204.2,47,0.68747,27.933333,43
189.4,57,0.837342,28.461538,55
182.6,20,0.460376,28.692308,28
190.8,32,0.673933,26.857143,35
238.9,63,0.858242,27.214286,57
142.4,40,0.51529,29.454545,20
177.2,41,0.673887,26.714286,27
170.1,55,0.592571,27.090909,63
205.6,48,0.626357,28.571429,32
185.3,28,0.571728,27.307692,20
167.4,43,0.741225,27.076923,57
226.2,34,0.638323,26.176471,50
183.1,11,0.493323,24.625,13
168.4,49,0.590523,27.571429,55
