@relation 'Master-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7'

@attribute short_name {PHO,DAL,BOS,SAC,CLE,MIL,DET,CHI,DEN,WSB,HOU,UTA,NYK,ATL,GSW,MIN,IND,SAS,MIA,LAL,ORL,POR,CHH,LAC,PHI,NJN,SEA,VAN,TOR,WAS,MEM,NOH,NOK,OKC,BRK,NOP,CHA,CHO}
@attribute predicting_year numeric
@attribute PER numeric
@attribute continuity numeric
@attribute product numeric
@attribute num_wins numeric

@data
CHH,2002,167.6,0.812907,136.24313,44
CHA,2015,161.6,0,0,33
CHO,2016,182.9,0.468633,85.712999,48
CHO,2017,209.8,0.644441,135.203734,36
CHO,2018,170.7,0.762927,130.23161,36
LAC,1992,154.5,0.654497,101.119779,45
LAC,1993,164,0.599345,98.2925,41
LAC,1994,177.2,0.673887,119.412811,27
LAC,1995,184.2,0.458415,84.439976,17
LAC,1996,196.7,0.743338,146.214666,29
LAC,1997,169.1,0.855173,144.609714,36
LAC,1998,190.3,0.618867,117.770365,17
LAC,2000,199.4,0.314136,62.638754,15
LAC,2001,146,0.424055,61.912012,31
LAC,2002,174.7,0.900798,157.369369,39
LAC,2003,191.4,0.675798,129.347692,27
LAC,2004,200.2,0.480376,96.171278,28
LAC,2005,164.6,0.59031,97.165019,37
LAC,2006,186.6,0.531834,99.24029,47
LAC,2007,168.9,0.869985,146.940425,40
LAC,2008,141.8,0.746286,105.823294,23
LAC,2009,191.5,0.362612,69.440158,19
LAC,2010,161.9,0.477861,77.365659,29
LAC,2011,121.1,0.365996,44.322108,32
LAC,2013,190.4,0.473145,90.08687,56
LAC,2014,195.7,0.664827,130.10669,57
LAC,2015,204.7,0.665935,136.316886,56
LAC,2016,211.8,0.622266,131.795994,53
LAC,2017,197.8,0.81534,161.27434,51
LAC,2018,202.2,0.276123,55.832064,42
PHI,1992,153.4,0.576814,88.483271,35
PHI,1993,148.6,0.713659,106.049659,26
